METADATA
BURST SEARCH PARAMETERS
reduction_mode,0
arrival_threshold,0.0005
min_neighbors,15
min_photons_per_burst,50
time_resolution,1.25e-08
alex_period,0.0001
first_half,5e-05
green_laser_on,0.0
green_laser_off,4.7e-05
red_laser_on,5.2e-05
red_laser_off,0.0001
THRESHOLDS
reduction_mode,0
arrival_threshold,0.0005
min_neighbors,15
min_photons_per_burst,50
time_resolution,1.25e-08
alex_period,0.0001
first_half,5e-05
green_laser_on,0.0
green_laser_off,4.7e-05
red_laser_on,5.2e-05
red_laser_off,0.0001
DATA
Bin Centres,E Histogram,S Histogram
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,22.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,23.0,0.0,11.0,0.0,0.0,77.0,24.0,0.0,60.0,13.0,24.0,0.0,14.0,26.0,90.0,0.0,35.0,60.0,68.0,60.0,22.0,26.0,0.0,61.0,65.0,9.0,19.0,24.0,91.0,0.0,0.0,36.0,13.0,76.0,0.0,16.0,27.0,0.0,75.0,24.0,92.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,17.0,0.0,8.0,26.0,0.0,165.0,0.0,0.0,0.0,45.0,11.0,28.0,17.0,0.0,0.0,134.0,0.0,36.0,30.0,95.0,9.0,0.0,91.0,53.0,27.0,73.0,78.0,48.0,33.0,56.0,29.0,234.0,53.0,114.0,174.0,119.0,49.0,272.0,87.0,0.0,242.0,149.0,134.0,211.0,88.0,203.0,119.0,314.0,304.0,134.0,308.0,127.0,161.0,26.0,161.0,102.0,91.0,284.0,80.0,35.0,89.0,200.0,75.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,0.0,68.0,0.0,22.0,14.0,0.0,33.0,0.0,0.0,27.0,0.0,0.0,55.0,0.0,0.0,0.0,185.0,0.0,54.0,0.0,47.0,0.0,13.0,53.0,25.0,0.0,282.0,54.0,19.0,26.0,57.0,74.0,0.0,266.0,128.0,128.0,296.0,123.0,128.0,55.0,144.0,236.0,468.0,34.0,247.0,239.0,187.0,332.0,428.0,548.0,461.0,327.0,484.0,678.0,260.0,470.0,750.0,289.0,796.0,467.0,727.0,580.0,865.0,644.0,665.0,631.0,628.0,490.0,441.0,472.0,192.0,298.0,81.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,45.0,0.0,77.0,0.0,26.0,0.0,0.0,72.0,0.0,0.0,11.0,104.0,18.0,23.0,195.0,34.0,99.0,0.0,90.0,66.0,69.0,74.0,83.0,0.0,598.0,79.0,61.0,45.0,68.0,144.0,137.0,236.0,186.0,0.0,286.0,276.0,235.0,288.0,264.0,444.0,695.0,265.0,276.0,822.0,698.0,503.0,705.0,669.0,627.0,894.0,1064.0,1061.0,377.0,811.0,787.0,1181.0,1162.0,893.0,798.0,1267.0,778.0,716.0,1026.0,589.0,1556.0,744.0,1079.0,460.0,537.0,479.0,400.0,153.0,67.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,28.0,13.0,12.0,0.0,22.0,0.0,30.0,14.0,18.0,13.0,0.0,76.0,30.0,0.0,81.0,0.0,46.0,0.0,28.0,171.0,23.0,17.0,33.0,8.0,26.0,23.0,227.0,91.0,21.0,69.0,171.0,68.0,138.0,17.0,157.0,0.0,464.0,85.0,231.0,200.0,200.0,224.0,129.0,482.0,307.0,64.0,787.0,407.0,366.0,349.0,372.0,417.0,920.0,446.0,971.0,1483.0,1353.0,613.0,1302.0,1157.0,1355.0,1524.0,1823.0,1357.0,1431.0,750.0,2234.0,1336.0,2424.0,948.0,1426.0,562.0,1956.0,1429.0,1437.0,711.0,796.0,641.0,788.0,743.0,1072.0,175.0,452.0,250.0,55.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,9.0,16.0,0.0,42.0,13.0,24.0,0.0,33.0,0.0,10.0,0.0,22.0,17.0,0.0,104.0,30.0,11.0,119.0,0.0,10.0,0.0,31.0,198.0,23.0,102.0,22.0,40.0,52.0,56.0,475.0,160.0,155.0,129.0,277.0,186.0,327.0,131.0,29.0,234.0,762.0,282.0,377.0,194.0,414.0,226.0,450.0,455.0,498.0,557.0,941.0,758.0,912.0,597.0,672.0,995.0,1473.0,1230.0,1060.0,1405.0,1490.0,1605.0,1428.0,1148.0,1453.0,1575.0,2063.0,1602.0,1633.0,1468.0,1871.0,2398.0,2051.0,1412.0,1432.0,1533.0,1205.0,945.0,789.0,1603.0,546.0,1371.0,430.0,220.0,359.0,194.0,467.0,80.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,24.0,0.0,22.0,0.0,50.0,0.0,36.0,0.0,0.0,96.0,15.0,0.0,105.0,82.0,69.0,19.0,0.0,201.0,0.0,17.0,146.0,56.0,171.0,66.0,379.0,63.0,186.0,53.0,213.0,319.0,228.0,120.0,241.0,0.0,606.0,325.0,463.0,237.0,665.0,660.0,500.0,527.0,1320.0,591.0,646.0,1597.0,1249.0,1070.0,1454.0,1266.0,1908.0,868.0,1838.0,1543.0,1346.0,1707.0,1049.0,1747.0,1123.0,1801.0,1517.0,2038.0,2240.0,973.0,1605.0,1529.0,1732.0,1555.0,1395.0,1215.0,1188.0,630.0,822.0,658.0,805.0,261.0,600.0,272.0,129.0,428.0,0.0,69.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,12.0,0.0,38.0,42.0,40.0,42.0,0.0,34.0,0.0,48.0,68.0,0.0,98.0,27.0,79.0,80.0,25.0,162.0,84.0,0.0,85.0,75.0,163.0,61.0,298.0,183.0,233.0,62.0,396.0,240.0,513.0,291.0,375.0,0.0,913.0,292.0,645.0,853.0,621.0,1012.0,774.0,1034.0,1048.0,707.0,969.0,901.0,1156.0,1038.0,1356.0,662.0,2029.0,2288.0,1883.0,2103.0,1181.0,1626.0,1286.0,1617.0,996.0,1936.0,1201.0,1224.0,1669.0,1161.0,1513.0,1234.0,770.0,1324.0,745.0,1069.0,869.0,648.0,590.0,600.0,966.0,192.0,799.0,362.0,198.0,65.0,97.0,69.0,0.0,0.0
